Position	Frequency	emoji
14427	1	:winking_face_with_tongue: :winking_face_with_tongue:
14525	1	:party_popper: :Santa_Claus:
14526	1	:Santa_Claus: :musical_notes:
14855	1	:oncoming_bus: :snowflake:
14856	1	:snowflake: :snowman_without_snow:
14857	1	:snowman_without_snow: :face_savoring_food:
15025	1	:airplane: :red_heart:
15026	1	:red_heart: :Christmas_tree:
15229	1	:sleeping_face: :sleeping_face:
15300	1	:sparkles: :person_bowing:
15363	1	:see-no-evil_monkey: :smiling_face:
15364	1	:smiling_face: :smiling_face:
15365	1	:smiling_face: :OK_hand:
15381	1	:clapping_hands: :purple_heart:
15382	1	:purple_heart: :backhand_index_pointing_right:
15383	1	:backhand_index_pointing_right: :cross_mark:
15384	1	:cross_mark: :heavy_large_circle:
15385	1	:heavy_large_circle: :backhand_index_pointing_left:
15386	1	:backhand_index_pointing_left: :folded_hands:
15387	1	:folded_hands: :raising_hands:
15589	1	:pensive_face: :confounded_face:
16186	1	:face_with_tears_of_joy: :skull:
